customer_id,customer_name,gender,age,region,state,city,signup_date
10001,Karthik Pillai,Female,30,West,Goa,Panaji,2023-07-16
10002,Arjun Joshi,Male,38,East,Bihar,Patna,2023-08-14
10003,Aditya Kumar,Female,38,North,Uttar Pradesh,Kanpur,2024-08-17
10004,Priya Patel,Male,45,West,Maharashtra,Nagpur,2025-07-01
10005,Arjun Nair,Female,50,South,Andhra Pradesh,Visakhapatnam,2025-01-04
10006,Nisha Reddy,Female,46,South,Kerala,Kochi,2025-07-07
10007,Rohan Patel,Female,54,South,Kerala,Kozhikode,2024-06-20
10008,Meera Patel,Female,39,East,Bihar,Patna,2023-08-08
10009,Aditya Gupta,Female,43,North,Haryana,Gurugram,2023-10-20
10010,Arjun Sharma,Female,39,North,Rajasthan,Jaipur,2023-07-21
10011,Vihaan Joshi,Female,28,South,Tamil Nadu,Madurai,2023-02-01
10012,Sneha Das,Female,51,East,Bihar,Patna,2024-12-16
10013,Priya Joshi,Female,36,North,Rajasthan,Udaipur,2025-01-22
10014,Sneha Kumar,Female,54,South,Tamil Nadu,Coimbatore,2025-10-13
10015,Sneha Patel,Female,31,South,Andhra Pradesh,Visakhapatnam,2023-04-25
10016,Karthik Gupta,Female,46,South,Andhra Pradesh,Vijayawada,2024-12-22
10017,Nisha Menon,Female,36,South,Kerala,Thiruvananthapuram,2023-07-01
10018,Aarav Verma,Male,54,West,Rajasthan,Udaipur,2025-02-09
10019,Aarav Das,Female,38,West,Rajasthan,Jaipur,2024-04-13
10020,Nisha Kumar,Female,41,South,Kerala,Kozhikode,2024-03-01
10021,Aditya Singh,Female,43,North,Haryana,Faridabad,2025-04-13
10022,Aisha Patel,Male,58,South,Telangana,Hyderabad,2025-12-19
10023,Rohan Verma,Female,29,South,Karnataka,Bengaluru,2024-04-29
10024,Diya Singh,Male,36,West,Gujarat,Surat,2023-01-11
10025,Arjun Reddy,Male,47,West,Maharashtra,Mumbai,2023-02-11
10026,Arjun Nair,Female,32,North,Punjab,Amritsar,2023-05-03
10027,Arjun Iyer,Female,20,South,Kerala,Kochi,2024-12-01
10028,Aisha Menon,Male,30,West,Rajasthan,Jaipur,2023-09-09
10029,Vikram Gupta,Female,26,West,Rajasthan,Udaipur,2025-08-30
10030,Rahul Iyer,Male,30,South,Andhra Pradesh,Visakhapatnam,2024-08-26
10031,Priya Rao,Male,33,North,Haryana,Gurugram,2023-08-01
10032,Vikram Rao,Male,31,South,Tamil Nadu,Coimbatore,2023-09-25
10033,Priya Pillai,Female,25,South,Andhra Pradesh,Vijayawada,2025-10-02
10034,Meera Gupta,Male,36,East,Odisha,Cuttack,2024-12-07
10035,Aisha Pillai,Male,49,East,West Bengal,Kolkata,2024-06-23
10036,Vihaan Patel,Female,52,North,Haryana,Faridabad,2024-12-06
10037,Meera Menon,Male,40,South,Andhra Pradesh,Vijayawada,2025-10-07
10038,Vihaan Das,Female,38,South,Kerala,Kozhikode,2024-09-10
10039,Vikram Menon,Female,35,North,Delhi,New Delhi,2024-05-12
10040,Vihaan Menon,Female,31,West,Goa,Panaji,2025-10-17
10041,Sneha Kumar,Male,33,South,Telangana,Hyderabad,2025-02-20
10042,Sneha Pillai,Male,41,West,Gujarat,Surat,2023-05-06
10043,Vihaan Menon,Female,49,South,Kerala,Kochi,2025-04-20
10044,Nisha Joshi,Male,28,East,Jharkhand,Ranchi,2025-09-09
10045,Arjun Sharma,Male,28,South,Karnataka,Bengaluru,2023-01-12
10046,Vihaan Patel,Male,21,North,Uttar Pradesh,Noida,2024-05-30
10047,Vikram Das,Male,43,South,Karnataka,Bengaluru,2023-11-12
10048,Aarav Nair,Female,22,West,Gujarat,Surat,2025-10-28
